gutenberg_id,goodreads_id,goodreads_title,goodreads_author,goodreads_description,goodreads_average_rating,goodreads_rating_dist,goodreads_ratings_count,goodreads_text_reviews_count,goodreads_num_pages,goodreads_publisher,goodreads_language_code,goodreads_image_url,goodreads_small_image_url,goodreads_isbn,goodreads_isbn_13,goodreads_link
20010,5183012,The Calico Cat,Charles Miner Thompson,"The consequences of letting your irritation get the better of you are humorously portrayed in this story of a self-important man who fires a shotgun at an annoying cat on his fence.. and hits a man skulking in the bushes. What did the cat do to enrage him? Why was the man in the bushes? And how can the whole matter be covered up and done away with before the neighbors start gossiping? <br /><br />This scarce antiquarian book is included in our special Legacy Reprint Series. In the interest of creating a more extensive selection of rare historical book reprints, we have chosen to reproduce this title even though it may possibly have occasional imperfections such as missing and blurred pages, missing text, poor pictures, markings, dark backgrounds and other reproduction issues beyond our control. Because this work is culturally important, we have made it available as a part of our commitment to protecting, preserving and promoting the world's literature.",3.42,5:8|4:12|3:21|2:6|1:1|total:48,30,3,,Kessinger Publishing,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0548338434,9780548338438,https://www.goodreads.com/book/show/5183012-the-calico-cat
20011,12262024,Pequeneces,Luis Coloma,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,3.38,5:2|4:6|3:2|2:1|1:2|total:13,7,0,408,BiblioLife,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1426489846,9781426489846,https://www.goodreads.com/book/show/12262024-pequeneces
20012,19247995,"The Hawarden Visitors' Hand-Book Revised Edition, 1890",William Henry Gladstone,,4.00,5:1|4:3|3:1|2:0|1:0|total:5,5,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/19247995-the-hawarden-visitors-hand-book-revised-edition-1890
20014,61975,"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,"HOW CAN ONE GIRL SAVE AN ENTIRE WORLD?<br /><br />To the nobles who live in Benden Weyr, Lessa is nothing but a ragged kitchen girl. For most of her life she has survived by serving those who betrayed her father and took over his lands. Now the time has come for Lessa to shed her disguise—and take back her stolen birthright. <br /><br />But everything changes when she meets a queen dragon. The bond they share will be deep and last forever. It will protect them when, for the first time in centuries, Lessa’s world is threatened by Thread, an evil substance that falls like rain and destroys everything it touches. Dragons and their Riders once protected the planet from Thread, but there are very few of them left these days. Now brave Lessa must risk her life, and the life of her beloved dragon, to save her beautiful world. . . .",4.10,5:49563|4:39528|3:22158|2:5034|1:1964|total:118247,109751,2284,299,Del Rey,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0345484266,9780345484260,https://www.goodreads.com/book/show/61975.Dragonflight
20015,1131832,The Child Of Pleasure,Gabriele D'Annunzio,"The Child of Pleasure (written in 1888 and published in 1889) and its protagonist Andrea Sperelli introduced the Italian culture of the late 1800s to Aestheticism and a taste for decadence. Sperelli is a young count, who - like Joris Karl Huysmans' Baron Des Esseintes or Oscar Wilde's Dorian Gray - following family tradition, seeks beauty and despises the bourgeois world; leads an extraordinary life, which he lives as a work of art; and rejects the basic rules of morality and social interaction. However, this extraordinary sensitivity also implies a certain corruption, evident in his sadistic superimposing of the two women: Elena Muti and Maria Ferres.",3.47,5:564|4:802|3:740|2:343|1:177|total:2626,626,18,384,MONDIAL,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1595690581,9781595690586,https://www.goodreads.com/book/show/1131832.The_Child_Of_Pleasure
20016,43769505,Rules of the Committee on Government Reform House of Representatives Together with Selected Rules of the House of Representatives (Includig Clause 2 of Home Rule XI) and Selected Statutes of Interest - Scholar's Choice Edition,U.S. House of Representatives,"<br /> This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. <br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.<br /><br />",0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,44,Scholar's Choice,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1298014026,9781298014023,https://www.goodreads.com/book/show/43769505-rules-of-the-committee-on-government-reform-house-of-representatives-tog
20017,22951411,Pages for Laughing Eyes,Various,"This collection of literature attempts to compile many of the classic, timeless works that have stood the test of time and offer them at a reduced, affordable price, in an attractive volume so that everyone can enjoy them.",0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,28,Createspace Independent Publishing Platform,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1500783544,9781500783549,https://www.goodreads.com/book/show/22951411-pages-for-laughing-eyes
20018,6658374,Evenings at Donaldson Manor: Or- The Christmas Guest,Maria Jane McIntosh,,2.00,5:0|4:0|3:1|2:0|1:1|total:2,0,0,274,D. Appleton & Co.,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/6658374-evenings-at-donaldson-manor
20019,19254509,"Lectures on Landscape Delivered at Oxford in Lent Term, 1871",John Ruskin,This book was converted from its physical edition to the digital format by a community of volunteers. You may find it for free on the web. Purchase of the Kindle edition includes wireless delivery.,3.41,5:5|4:14|3:11|2:5|1:2|total:37,5,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/19254509-lectures-on-landscape-delivered-at-oxford-in-lent-term-1871
20020,11929114,Kirja tienhaarassa vuonna 2020,Kai Ekholm,"Kirja-alalla tapahtuu. Kustantamot tehostavat ja karsivat toimintaansa ja kirjapainot kaatuvat, mutta silti syntyy uusia yrittäjiä. Verkon ilmaispalvelut ovat haaste kirja-alalle, ja nuoret sukupolvet luovat omat lukutapansa.<br /><br />Perinteisen kirjan varmana tappajana on pidetty sähköistä kirjaa, mutta lukulaitteet ja e-kirjat yleistyvät odotettua hitaammin. Kirjat luetaan edelleen mieluiten painettuina. Silti monen mielessä on kysymys: missä muodossa luemme kirjoja tulevaisuudessa?<br /><br /><i>Kirja tienhaarassa</i> on avoin ja suorapuheinen ajankuva, joka taustoittaa laajasti kirjan ja kustantamisen nykytilaa sekä puhuu estottomasti kirjallisuuden ja lukemisen tulevaisuudesta. Siitä jokaisen on helppo tunnistaa oma roolinsa – olipa hän kirjan kirjoittaja, kustantaja, kauppias tai lukija.",3.07,5:0|4:3|3:9|2:2|1:0|total:14,14,4,205,Gaudeamus,fin,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,9524951584,9789524951586,https://www.goodreads.com/book/show/11929114-kirja-tienhaarassa-vuonna-2020
20021,39171720,Suomalaisia Sananlaskuja,Elias Lönnrot,,0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/39171720-suomalaisia-sananlaskuja
20022,1788295,Sequil or Things Whitch Aint Finished in the First,Henry A. Shute,"The continuing Adventures of Plupy, Beany, and Pewt. ""Sequil"" is indeed the sequel to Henry A. Shutes beloved Diary of a Real Boy. Henry A. Shute was widely considered the Mark Twain of New England during his life time. Transport yourself to a simpler time and laugh along with our heros as they navigate through the trials and tribulations of boyhood in the late 1800's.",4.17,5:3|4:2|3:0|2:1|1:0|total:6,2,0,108,Wilder Publications,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0977304035,9780977304035,https://www.goodreads.com/book/show/1788295.Sequil_or_Things_Whitch_Aint_Finished_in_the_First
20023,19032447,"The Letters of Queen Victoria : A Selection from Her Majesty's Correspondence between the Years 1837 and 1861 Volume 1, 1837-1843",Queen Victoria,,3.65,5:10|4:10|3:8|2:4|1:2|total:34,32,1,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/19032447-the-letters-of-queen-victoria
20024,270730,"Crank (Crank, #1)",Ellen Hopkins,"In <i>Crank</i>, Ellen Hopkins chronicles the turbulent and often disturbing relationship between Kristina, a character based on her own daughter, and the ""monster,"" the highly addictive drug crystal meth, or ""crank."" Kristina is introduced to the drug while visiting her largely absent and ne'er-do-well father. While under the influence of the monster, Kristina discovers her sexy alter-ego, Bree: ""there is no perfect daughter, / no gifted high school junior, / no Kristina Georgia Snow. / There is only Bree."" Bree will do all the things good girl Kristina won't, including attracting the attention of dangerous boys who can provide her with a steady flow of crank.",4.16,5:57263|4:35064|3:18951|2:5740|1:2615|total:119633,117377,7637,537,Margaret K. McElderry Books,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0689865198,9780689865190,https://www.goodreads.com/book/show/270730.Crank
20025,404026,Pirate's Gold,Lisa Jackson,"From the back cover of the December 1984 Silhouette edition:<br /><br />They were business associates, executives in the cutthroat, fast-track industry of rock music and video, both burdened with the mistakes of past relationships. As often happens, adverse circumstances drew Maren McClure and Kyle Sterling together--two passionate lovers in a competitive world. <br /><br />Suddenly several videotapes were pirated, and all the evidence in Kyle's investigation implicated Maren in the crime. Kyle was furious: how could she turn against their love? Maren was devastated: how could he doubt her?",3.75,5:7|4:9|3:10|2:2|1:0|total:28,24,0,252,,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381568974l/404026._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381568974l/404026._SY75_.jpg,0373090048,9780373090044,https://www.goodreads.com/book/show/404026.Pirate_s_Gold
20026,7713107,Fables For The Frivolous,Guy Wetmore Carryl,,3.42,5:5|4:4|3:12|2:2|1:1|total:24,13,3,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1419119001,9781419119002,https://www.goodreads.com/book/show/7713107-fables-for-the-frivolous
20027,22917,The Complete Grimm's Fairy Tales,Jacob Grimm,"For almost two centuries, the stories of magic and myth gathered by the Brothers Grimm have been part of the way children — and adults — learn about the vagaries of the real world. <br /><br />Cinderella, Rapunzel, Snow-White, Hänsel and Gretel, Little Red-Cap (a.k.a. Little Red Riding Hood), and Briar-Rose (a.k.a. Sleeping Beauty) are only a few of more than 200 enchanting characters included here. <br /><br />Lyrically translated and beautifully illustrated, the tales are presented just as Jacob and Wilhelm Grimm originally set them down: bold, primal, just frightening enough, and endlessly engaging.",4.30,5:69591|4:44167|3:19727|2:2763|1:894|total:137142,123144,1308,880,Pantheon Books,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369540060l/22917._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369540060l/22917._SY75_.jpg,,,https://www.goodreads.com/book/show/22917.The_Complete_Grimm_s_Fairy_Tales
20028,195144,"Fanny Hill, or Memoirs of a Woman of Pleasure",John Cleland,"One of the most prosecuted and banned books in history.<br /><br />The classic novel of a young girl's exploration of physical pleasures.<br /><br />Young Fanny Hill is tricked into a life of prostitution, but she quickly learns the power of her own body as she learns the ways of physical passion. She soon escapes her fate for the loving arms of a wealthy young man, but misadventure and fate conspire to keep her from domestic bliss. Instead, Fanny discovers that sex need not be just for love; that it can be had for pleasure. She then sets out to explore those pleasures in as wide a variety as she can. With old men and young, and women as well; in positions of power, and situations where she has none; either watching or participating, Fanny's journey through the realms of sexual pleasure is a literary tour-de-force.",3.32,5:1523|4:2828|3:3859|2:1578|1:510|total:10298,7740,478,224,Penguin,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356455533l/195144._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356455533l/195144._SY75_.jpg,0140620885,9780140620887,https://www.goodreads.com/book/show/195144.Fanny_Hill_or_Memoirs_of_a_Woman_of_Pleasure
20029,12979449,"Las Fábulas de Esopo, vol. 01 (#1)",Aesop,"Las Fábulas de Esopo, vol. 01<br /><br />by George Fyler Townsend (1814-1900).<br />Translated by Jorge R. Rodríguez.<br /><br /> The classic Aesop’s Fables have been translated to every language for hundreds of years. The fables, told in the form of allegories, give us universal, worldly advice. The use of animals and ancient gods makes the lessons unbiased and impartial. Short and smart, these fables entertain and enrich our lives. In this volume you will find 30 of the 300 fables we offer you in Spanish.<br /><br /> Las clásicas Fábulas de Esopo han sido traducidas a todos idiomas por cientos de años. Las fábulas, en forma de alegorias, nos dan consejos en una forma universal. El uso de animales y dioses antiguos hace que las lecciones sean imparcial. Cortitas y sabias, cada fábula nos entretiene y enriquese nuestras vidas. En este volúmen encontrará 30 de las 300 fábulas que le ofrecemos en Español.<br /><br /> (Summary by Fedra)",3.96,5:9|4:8|3:6|2:2|1:0|total:25,4,1,,LibriVox,spa,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319951624l/12979449._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319951624l/12979449._SX50_.jpg,,,https://www.goodreads.com/book/show/12979449-las-f-bulas-de-esopo-vol-01
20030,275000,"Fire and Ice (Warriors, #2)",Erin Hunter,"<p>
  <i>Fireheart could hear a roaring around him, like wind in tall trees. The acrid stench of the Thunderpath stung his nostrils, together with a new smell, sharper and more terrifying. Fire!</i>
</p><p>Book Two of WARRIORS continues Fireheart's quest to be a true warrior, when he finds new danger lurking in the woods as the chill of winter sets in.</p><p>WindClan is missing, and hostilities between the remaining three clans place all the cats in peril. Illness and tragic accidents weaken the camp, and ThunderClan needs all its warriors to defend itself - but Fireheart suspects that certain cats may not be as loyal as they appear.</p>",4.38,5:23219|4:11662|3:5232|2:849|1:242|total:41204,37744,1418,317,Avon Books,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0060525592,9780060525590,https://www.goodreads.com/book/show/275000.Fire_and_Ice
20031,46926541,A Final Reckoning A Tale of Bush Life in Australia,G.A. Henty,"An exciting adventure of outlaws in the early days of the Australian gold rush, when fortunes were made and stolen, and when bush rangers and natives constituted a real and formidable danger to the settlers. ""All boys will read this story with eager and unflagging interest. The episodes are in Mr. Henty's very best vein-graphic, exciting, realistic; and, as in all Mr. Henty's books, the tendency is to the formation of an honourable, manly, and even heroic character.""-Birmingham Post.",0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,404,Independently Published,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567170518l/46926541._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567170518l/46926541._SX50_.jpg,1070555150,9781070555157,https://www.goodreads.com/book/show/46926541-a-final-reckoning-a-tale-of-bush-life-in-australia
20033,16356,"The Mysterious Mr. Quin (Harley Quin, #1)",Agatha Christie,"Harley Quin is an enigma. Even his friend Mr Satterthwaite is unable to understand how the man seems to appear and disappear almost like a trick of the light - and when he does appear it's usually in the sparkle of sunshine, or surrounded by a spectrum of coloured light pouring through a stained glass window...<br /><br />In fact, the only consistent thing about the Mysterious Mr Quin is that his presence is always a harbinger of love ... or death.",3.72,5:2530|4:3389|3:3111|2:862|1:174|total:10066,7723,372,396,Harper Collins,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476892657l/16356._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476892657l/16356._SY75_.jpg,0007154844,9780007154845,https://www.goodreads.com/book/show/16356.The_Mysterious_Mr_Quin
20034,17938435,Scottish Ghost Stories,Elliott O'Donnell,"Many of the earliest books, particularly those dating back to the 1900s and before, are now extremely scarce and increasingly expensive. We are republishing these classic works in affordable, high quality, modern editions, using the original text and artwork.",3.43,5:45|4:83|3:90|2:40|1:9|total:267,143,4,,,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369092270l/17938435._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369092270l/17938435._SX50_.jpg,,,https://www.goodreads.com/book/show/17938435-scottish-ghost-stories
